string,sv-sv,en,ar
moSelectTime,Tids val,Time chosing,اختيار الوقت
moSelectService,Tjänst,Service,الخدمات
edirt,Tillägg,Addons,الإضافات
moCustomerInformation,Din information,Your information,معلوماتك
moConfirm,Bekräfta,Confirm,التأكيد
moDone,Klart!,Done!,انتهى!
SelectDate,Välj ett datum,Chose a date,اختر التاريخ
selectTime,Välj tid,Chose a time,اختر الوقت
price,Pris,Price,السعر
total,Summa,Total,المجموع
firstName,Förr namn,First name,الاسم الأول
lastName,Efter namn,Last name,اسم العائلة
email,Mail,Email,البريد الإلكتروني
phoneNumber,Mobil nummer,Phone number,رقم الهاتف
bookingSummary,Bokning sammanfattning,Booking summary,ملخص الحجز
dear,Kära,dear,عزيزي
bookingSumText,Här är din bokning sammanfattning för att bekräfta,Here is your booking details to confirm,إليك تفاصيل حجزك للتأكيد
dtForBooking,Datum och tid för bokning,Date and time for booking,تاريخ ووقت الحجز
at,vid,at,في الساعة
servicesBooked,Tjänster bokade,Services booked,الخدمات المحجوزة
totalPrice,Total summa,Total price,السعر الإجمالي
tyBooking,Tack för din bokning!,Thank you for booking!,شكرا لك على الحجز!
contactText,Vi kommer att kontakta dig snart för att bekräfta din bokning.,We will contact you shortly to confirm your booking.,سوف نتصل بك قريبًا لتأكيد حجزك.
yourId,Din boknings id,Your booking id,رقم حجزك
errorPleaseSelectDateTime,Vänligen välj en datum och tid,Please select a date and time,يرجى تحديد تاريخ ووقت
errorPleaseSelectService,Vänligen välj en tjänst,Please select a service,الرجاء تحديد الخدمة
errorInfoInvalid,Vänligen se till att informationen du angav är giltig,Please make sure the information you entered is valid,يرجى التأكد من صحة المعلومات التي أدخلتها
errorMissingInfor,Vänligen se till att fylla i alla fält,Please fill in all the information,يرجى ملء جميع المعلومات
amDashboard,Dashboard,Dashboard,لوحة المراقبة
amBookings,Bokningar,Bookings,الحجوزات
amServices,Tjänster,Services,الخدمات
amAddons,Tillägg,Addons,الاضفات
statusPending,Väntar på bekräftelse,Awaiting confirmation,بانتظار التأكيد
statusAccepted,Bekräftad,Confirmed,تم التأكيد
